title,standard,standard_description,ref_number,image_file,sort_order
Manufacturer,ISO 15223-1,"Medical devices - Symbols to be used with medical device labels, labelling, and information to be supplied",5.1.1,b.png,1
Authorized Representative in the European Community/ European Union,ISO 15223-1,"Medical devices - Symbols to be used with medical device labels, labelling, and information to be supplied",5.1.2,b1.png,2
Date of manufacture,ISO 15223-1,"Medical devices - Symbols to be used with medical device labels, labelling, and information to be supplied",5.1.3,b2.png,3
Use-by date,ISO 15223-1,"Medical devices - Symbols to be used with medical device labels, labelling, and information to be supplied",5.1.4,b3.png,4
Batch code/ Lot number,ISO 15223-1,"Medical devices - Symbols to be used with medical device labels, labelling, and information to be supplied",5.1.5,b4.png,5
Catalogue number,ISO 15223-1,"Medical devices - Symbols to be used with medical device labels, labelling, and information to be supplied",5.1.6,b5.png,6
Serial number,ISO 15223-1,"Medical devices - Symbols to be used with medical device labels, labelling, and information to be supplied",5.1.7,b6.png,7
Importer,ISO 15223-1,"Medical devices - Symbols to be used with medical device labels, labelling, and information to be supplied",5.1.8*,b7.png,8
Sterile,ISO 15223-1,"Medical devices - Symbols to be used with medical device labels, labelling, and information to be supplied",5.2.1,b8.png,9
Sterilized using aseptic processing techniques,ISO 15223-1,"Medical devices - Symbols to be used with medical device labels, labelling, and information to be supplied",5.2.2,b9.png,10
Sterilized using ethylene oxide,ISO 15223-1,"Medical devices - Symbols to be used with medical device labels, labelling, and information to be supplied",5.2.3,b10.png,11
Sterilized using irradiation,ISO 15223-1,"Medical devices - Symbols to be used with medical device labels, labelling, and information to be supplied",5.2.4,b11.png,12
Do not resterilize,ISO 15223-1,"Medical devices - Symbols to be used with medical device labels, labelling, and information to be supplied",5.2.6,b12.png,13
Non-sterile,ISO 15223-1,"Medical devices - Symbols to be used with medical device labels, labelling, and information to be supplied",5.2.7,b13.png,14
Do not use if package is damaged and consult instructions for use,ISO 15223-1,"Medical devices - Symbols to be used with medical device labels, labelling, and information to be supplied",5.2.8,b14.png,15
Sterile fluid path,ISO 15223-1,"Medical devices - Symbols to be used with medical device labels, labelling, and information to be supplied",5.2.9,b15.png,16
Single sterile barrier system,ISO 15223-1,"Medical devices - Symbols to be used with medical device labels, labelling, and information to be supplied",5.2.11*,b66.png,17
Double sterile barrier system,ISO 15223-1,"Medical devices - Symbols to be used with medical device labels, labelling, and information to be supplied",5.2.12*,b67.png,18
Single sterile barrier system with protective packaging inside,ISO 15223-1,"Medical devices - Symbols to be used with medical device labels, labelling, and information to be supplied",5.2.13*,b64.png,19
Single sterile barrier system with protective packaging outside,ISO 15223-1,"Medical devices - Symbols to be used with medical device labels, labelling, and information to be supplied",5.2.14*,b65.png,20
